track_id,track_name,album_name,album_id,popular
6V7g6qM8wheMivMWrzbPTM,Leave Me Alone,LOVE FOR GUALA,3zMEkZNzS5yJDcnqPhIk10,True
2x0RZdkZcD8QRI53XT4GI5,SOS (feat. Aloe Blacc),TIM,6Ad1E9vl75ZB3Ir87zwXIJ,True
1rqqCSm0Qe4I9rUvWncaom,High Hopes,Pray for the Wicked,6ApYSpXF8GxZAgBTHDzYge,True
1000nHvUdawXuUHgBod4Wv,Panini,Panini,71BrrQxz8mZAneNSDE9Lov,True
03x2rVJRFUrvwlfxoHd9Mo,Just You and I,What a Time To Be Alive,3Qa0qW4ged1J4HGeLXbFsC,True
6ZRuF2n1CQxyxxAAWsKJOy,Nights Like This (feat. Ty Dolla $ign),While We Wait,73ZvpuYhKDr2FW4vlPsTpW,True
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),lovely (with Khalid),2sBB17RXTamvj7Ncps15AK,True
0PG9fbaaHFHfre2gUVo7AN,Please Me,Please Me,5a4sJJ3qjn6hqRsvm0Veso,True
4t9a07PAghtQMRAIP9FQ7Z,Soltera (Remix),Épico,46xbsFOp9g1WqTidQEs7YT,True
3cWI6Hj9LQ0MfMuhw9uSMc,Lost Without You,Freya Ridings,3dcenoRctm8OAnqoCrQrLd,True
3Ol2xnObFdKV9pmRD2t9x8,Look Back at It,Hoodie SZN,3r5hf3Cj3EMh1C2saQ8jyt,True
5ry2OE6R2zPQFDO85XkgRb,Money In The Grave (Drake ft. Rick Ross),The Best In The World Pack,00HZxSA1sOS9T3nA950sg4,True
132ALUzVLmqYB4UsBj5qD6,Adan y Eva,Homerun,0qJkFmVwwNXP6fvSemDZqn,True
2GGMabyHXnJmjY6CXhhB2e,Money,Money,2drqVzCt52KiDxKgl0Rq0P,True
1lOe9qE0vR9zwWQAOk6CoO,Ransom,We Love You Tecca,1I6FpscJIfwf4T56VxGVsB,True
6UjZ2Yx2g2a52XxiA8ONxZ,Outnumbered,Outnumbered,4BQVnx1yJrDa1tcky9D9N6,True
7DnAm9FOTWE3cUvso43HhI,Sweet but Psycho,Heaven & Hell,26c7MmQ4w8EAvVLb4jilaM,True
0t3ZvGKlmYmVsDzBJAXK8C,Goodbyes (feat. Young Thug),Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,True
56JyMaElW79S7TDWh1Zw1m,On A Roll,On A Roll,6eV8O8De1mibErM1XM1tEc,True
1yAPglN5AGf7UoLK062ZYq,Wish You Well,Wish You Well,1yZZdubJ2rovC4QIBP8riQ,True
4l0Mvzj72xxOpRrp6h8nHi,Lose You To Love Me,Rare,3YPFaTR7WMi1Hd4NVKdCJx,True
2bjUEg4jBtKBlPdNrTAppI,Easier,CALM,46K4raQPIGem3N031upNj9,True
6LsAAHotRLMOHfCsSfYCsz,If I Can't Have You,If I Can't Have You,1J2BrRxtQjVUa7X9Ne99xD,True
5w9c2J52mkdntKOmRLeM2m,Con Calma,Con Calma,1otwHKoQ5KPaiekpYk4tWh,True
5iwz1NiezX7WWjnCgY5TH4,Calma - Remix,Calma (Remix),1tFnP9PwIMeMIuj92mfswZ,True
2ksOAxtIxY8yElEWw8RhgK,China,China,1PTTAq0OxggVgqP5WTYWDh,True
2gwkD6igEhQbDQegRCcdoB,Suge,Baby On Baby,0O1PJ0t69iTO5yWrIeIga0,True
0hVXuCcriWRGvwMV1r5Yn9,I Don't Care (with Justin Bieber),No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,True
543bCW2ruMPmxUBWirQ3MR,Cross Me (feat. Chance the Rapper & PnB Rock),Cross Me (feat. Chance the Rapper & PnB Rock),5MKInakULmoBNApeB2ZB3A,True
5icOoE6VgqFKohjWWNp0Ac,Here With Me,Here With Me,6NHS3hV16MZyfcp0nSHdrd,True
6iaSML1PIYq936g62BDtBq,Robbery,Death Race For Love (Bonus Track Version),1btu0SV2DOI5HoFsvUd78F,True
0KoiMHhqKLoL4xM54rcWYY,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",Carte Blanche,2MFS6WG6jnPAgvJpV3PehR,True
073ILU1C3APNRGF66VhtyA,Liar,Romance,3Vsbl0diFGw8HNSjG8ue9m,True
70eFcWOvlMObDhURTqT4Fv,Beautiful People (feat. Khalid),No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,True
